Company,Exchange,Ticker,Sample year,Corrected_year,U.S.-listed,gvkey,Short-seller ,Result Name,CIQ ID,Primary Industry,Ticker,Cash and Equivalents,Total Revenues,Net Income,Short Term Investments,Cost Of Revenues,"Depreciation & Amort., Total",Total Cash & ST Investments,Cost Of Goods Sold,Asset Writedown & Restructuring Costs,Accounts Receivable,Gross Profit,Stock-Based Compensation,Total Receivables,Selling General & Admin Exp.,Net Cash From Discontinued Ops.,Inventory,R & D Exp.,Change In Accounts Receivable,Total Current Assets,Depreciation & Amort.,Change In Inventories,"Gross Property, Plant & Equipment",Amort. of Goodwill and Intangibles,Change in Acc. Payable,"Net Property, Plant & Equipment",Operating Income,Change in Unearned Rev.,Long-term Investments,Net Interest Exp.,Change in Inc. Taxes,Total Intangibles,EBT Excl Unusual Items,Change in Def. Taxes,Total Assets,Total Unusual Items,Cash from Ops.,Accounts Payable,EBT Incl Unusual Items,Capital Expenditure,Short-term Borrowings,Income Tax Expense,"Sale of Property, Plant, and Equipment",Current Portion of Long Term Debt,Earnings from Cont. Ops.,Cash Acquisitions,Curr. Port. of Cap. Leases,Earnings of Discontinued Ops.,Divestitures,Total Current Liabilities,Extraord. Item & Account. Change,Sale (Purchase) of Intangible assets,Long-Term Debt,Net Income,Net Cash from Investments,Capital Leases,Pref. Dividends and Other Adj.,Cash from Investing,Minority Interest,Merger/Restructuring Costs,Short Term Debt Issued,Total Liabilities,NI to Common Incl Extra Items,Long-Term Debt Issued,Total Pref. Equity,NI to Common Excl Extra Items,Total Debt Issued,Common Stock,Basic EPS,Short Term Debt Repaid,Retained Earnings,Basic EPS Excl. Extra Items,Long-Term Debt Repaid,Treasury Stock,Weighted Avg. Basic Shares Out.,Total Debt Repaid,Total Common Equity,Diluted EPS,Issuance of Common Stock,Total Equity,Diluted EPS Excl Extra Itmes,Repurchase of Common,Total Liabilities And Equity,Weighted Avg. Diluted Shares Out.,Issuance of Preferred Stock,Normalized Basic EPS,Repurchase of Preferred,Normalized Diluted EPS,IQ_COMMON_DIV_CF,IQ_PREF_DIV_CF,EBITDA,Total Dividends Paid,Shares Outstanding on Balance Sheet Date,EBITDA (Incl. Equity Inc. from Affiliates),Cash from Financing,Total Shares Out. On Filing Date,Net Change in Cash,Total Shares Outstanding on BS Date,EBIT,Book Value/Share,EBITDAR,Tangible Book Value,Net Rental Expense,Cash Interest Paid,Tangible Book Value/Share,Normalized Net Income,Cash Taxes Paid,Total Debt,Same Store Sales Growth %,Net Debt Issued,Total Current Debt,Effective Tax Rate,Levered Free Cash Flow,Total Non-Current Debt,Payout Ratio,Unlevered Free Cash Flow,Net Debt,Interest On Long Term Debt,Change in Net Working Capital,Total Capitalization,Total Current Taxes,EBITDA - Capex,Full Time Employees,Total Deferred Taxes
"China Sky One Medical, Inc.",Nasdaq, CSKI,2009,fy2009,1,GV_061205,Asensio,"China Sky One Medical, Inc.",IQ254571425,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Oriental Education and Technology Group Inc.,NYSE, ,2009,fy2009,0,GV_175442,Citron Research,New Oriental Education & Technology Group Inc.,IQ27816540,Education Services,NYSE:EDU,254.772,292.567,61.016,59.845,112.011,10.602,314.617,112.011,0,1.539,180.556,16.75,3.057,119.636,0,15.188,0,-0.661,347.727,0,-4.309,146.394,0,2.141,109.785,60.92,14.568,0.002,6.599,0.91,7.063,68.109,0,469.402,0,97.182,9.295,68.109,-15.998,0,7.256,0.247,0,60.853,-0.47,0,0,0,117.761,0,0,0,61.016,-6.012,0,0,-22.262,0.238,0,0.008,117.918,61.016,0,0,61.016,0.008,1.5,0.40926,0,159.973,0.40926,0,0,149.09009,0,351.246,0.4,5.322,351.484,0.4,-35.455,469.402,153.52838,0,0.28661,0,0.27833,40830,39964,71.522,0,153.00471,71.522,-30.125,151.00195,46.332,(Invalid Formula Name),60.92,2.29565,108.346,344.183,36.824,0,2.24949,42.73113,7.426,0,0,0.008,0,10.6535,61.643,0,0,61.643,-314.617,0,-12.214,351.484,8.399,55.524,6420,-1.143
Garmin Ltd.,Nasdaq, GRMN,2009,fy2009,1,GV_141459,Citron Research,Garmin Ltd.,IQ598655,Consumer Electronics,NasdaqGS:GRMN,1091.581,2946.44,703.95,19.583,1502.329,96.486,1111.164,1502.329,0,874.11,1444.111,43.616,874.11,419.723,0,309.938,238.378,-131.978,2396.079,0,61.189,640.309,0,38.875,441.338,786.01,65.706,746.464,23.519,15.772,213.66,805.91,0,3828.082,2.741,1094.456,203.388,808.651,-49.199,0,104.701,0.005,0,703.95,0,0,0,0,685.876,0,-7.573,0,703.95,-490.996,0,0,-547.869,0,0,0,991.635,703.95,0,0,703.95,0,1.001,3.51281,0,2816.607,3.51281,0,0,200.395,0,2836.447,3.5,7.495,2836.447,3.5,-20.258,3828.082,201.161,0,2.5135,0,2.50393,40968,40173,882.496,-149.846,200.274,882.496,-161.243,200.3441,395.246,(Invalid Formula Name),786.01,14.16283,892.789,2622.787,10.293,0,13.09599,503.69375,66.252,0,0,0,0,12.9476,771.57525,0,21.2864,771.57525,-1111.164,0,-196.989,2836.447,128.036,833.297,8437,-23.335
International Bancshares Corporation,Nasdaq, IBOC,2009,fy2009,1,GV_022086,Citron Research,International Bank for Reconstruction and Development,IQ3648306,Specialized Finance,-,2380,5294,3114,33,0,920,166490,0,0,0,5294,0,271,1244,0,0,0,143,168314,0,0,0,0,-675,625,4049,0,1202,0,0,0,3114,0,275420,0,-11572,3891,3114,0,2323,0,0,0,3114,0,0,0,0,7709,0,0,225682,3114,0,0,0,-8359,0,0,1543,235383,3114,39092,0,3114,40635,189918,1978.00313,0,29870,1978.00313,-18653,0,1.57432,-18653,40037,1978.00313,82,40037,1978.00313,0,275420,1.57432,0,1236.25196,0,1236.25196,40759,39994,NA,0,1.57432,0,22196,1.57432,2258,(Invalid Formula Name),NA,25431.37809,NA,40037,0,2493,25431.37809,1946.25,0,228005,0,21982,2323,0,0,225682,0,0,61515,0,0,0,0,0,0,0
Lincare Holdings Inc.,Nasdaq, LNCR,2009,fy2009,1,GV_025062,Kynikos Associates,Lincare Holdings Inc.,IQ30839,Health Care Services,-,20.428,1527.22,136.096,0,821.05,118.12,74.643,821.05,0,159.542,706.17,25.516,162.867,330.589,0,13.617,0,-5.99,284.95,118.12,-4.146,1080.406,0,-0.627,339.25,257.461,0,0,-34.074,4.013,1243.404,223.387,0,1877.194,0,353.124,49.959,223.387,-110.091,0,87.291,0.132,2.754,136.096,-5.077,0.013,0,0,163.467,0,0,482.104,136.096,1.75,0,0,-113.286,0,0,0,975.279,136.096,0,0,136.096,0,0.98,1.33278,0,268.282,1.33278,-4.813,0,102.114,-4.813,901.915,1.32,56.026,901.915,1.32,-343.25,1877.194,102.746,0,1.36726,0,1.35885,40962,40178,375.581,0,95.52157,375.581,-292.061,95.52157,-52.223,(Invalid Formula Name),257.461,9.442,428.081,-341.489,52.5,15.148,-3.57499,139.61688,51.069,484.871,0,-4.813,2.767,39.0761,195.64713,482.104,0,198.48213,410.228,32.37,-4.024,1386.786,49.546,265.49,9867,37.745
"Life Partners Holdings, Inc.",Nasdaq, LPHI,2009,fy2009,1,GV_005835,Shareholder Watchdog,"Life Partners Holdings, Inc.",IQ723301,Specialized Finance,-,15.26122,104.68712,25.52161,3.0336,50.8354,0.33889,18.29482,50.8354,0,10.05739,53.85172,0,10.76945,10.88739,0,0,0,-0.27995,29.20556,0.33889,0,3.93873,0,0.88234,2.59449,41.18097,0.64754,7.63994,1.74311,0.06626,0,42.92407,0,52.37783,-3.27518,28.44529,5.06896,39.64889,-0.41373,0,14.12728,0,0.04272,25.52161,0,0,0,0,7.61609,0,0,0.73636,25.52161,-7.45144,0,0,-15.8785,0,0,0,8.35245,25.52161,2,0,25.52161,2,0.15024,1.37341,0,36.34853,1.37341,-2.3874,-1.63506,18.58271,-2.3874,44.02538,1.37,0,44.02538,1.37,-0.69905,52.37783,18.58271,0,1.44368,0,1.44368,40869,39872,41.51986,-3.33168,18.57377,41.51986,-4.41813,18.57377,8.14867,(Invalid Formula Name),41.18097,2.3703,41.57441,44.02538,0.05456,0.06118,2.3703,26.82755,15.078,0.77907,0,-0.3874,0.04272,35.6309,27.08661,0.73636,13.0543,27.12485,-17.51575,0,-1.46159,44.80445,15.70711,41.10612,56,-1.57983
"Life Partners Holdings, Inc.",Nasdaq, LPHI,2009,fy2009,1,GV_005835,Citron Research,"Life Partners Holdings, Inc.",IQ723301,Specialized Finance,-,15.26122,104.68712,25.52161,3.0336,50.8354,0.33889,18.29482,50.8354,0,10.05739,53.85172,0,10.76945,10.88739,0,0,0,-0.27995,29.20556,0.33889,0,3.93873,0,0.88234,2.59449,41.18097,0.64754,7.63994,1.74311,0.06626,0,42.92407,0,52.37783,-3.27518,28.44529,5.06896,39.64889,-0.41373,0,14.12728,0,0.04272,25.52161,0,0,0,0,7.61609,0,0,0.73636,25.52161,-7.45144,0,0,-15.8785,0,0,0,8.35245,25.52161,2,0,25.52161,2,0.15024,1.37341,0,36.34853,1.37341,-2.3874,-1.63506,18.58271,-2.3874,44.02538,1.37,0,44.02538,1.37,-0.69905,52.37783,18.58271,0,1.44368,0,1.44368,40869,39872,41.51986,-3.33168,18.57377,41.51986,-4.41813,18.57377,8.14867,(Invalid Formula Name),41.18097,2.3703,41.57441,44.02538,0.05456,0.06118,2.3703,26.82755,15.078,0.77907,0,-0.3874,0.04272,35.6309,27.08661,0.73636,13.0543,27.12485,-17.51575,0,-1.46159,44.80445,15.70711,41.10612,56,-1.57983
Moody's Corporation,NYSE, MCO,2009,fy2009,1,GV_139665,Greenlight Capital,Moody's Corporation,IQ528325,Financial Exchanges and Data,NYSE:MCO,473.9,1797.2,402,10,532.4,64.1,483.9,532.4,0,444.9,1264.8,57.4,444.9,495.7,0,0,0,-14.9,1012.9,64.1,0,457.8,0,50.4,293,705,17.9,30.4,-41.5,-21,454.1,663.7,0,2003.3,-17.5,643.8,7.1,646.2,-90.7,443.7,239.1,0,3.8,407.1,-0.9,0,0,0,1236,0,0,753.8,402,-2.2,0,0,-93.8,10.1,-17.5,11075.5,2599.4,402,2412,0,402,13487.5,3.4,1.70267,-10736.5,3329,1.70267,-3026.4,-4288.5,236.1,-13762.9,-606.2,1.69,19.8,-596.1,1.69,0,2003.3,237.8,0,1.73533,0,1.72293,40966,40178,769.1,-94.5,236.85744,775.2,-348.8,236.9,228,(Invalid Formula Name),705,-2.55935,843.4,-1060.3,74.3,46.1,-4.47653,409.7125,192.2,1201.3,0,-275.4,447.5,37.0009,584.125,753.8,23.5074,611.625,717.4,45.5,-140.2,605.2,222.6,678.4,3964,16.5
"McGraw-Hill Companies, Inc.",NYSE, MHP,2009,fy2009,1,GV_007163,Greenlight Capital,"McGraw-Hill Education, Inc.",IQ1067110,Publishing,-,0,2387,126,0,650,81,0,650,10,0,1737,6,0,1429,0,0,0,64,0,57,69,0,24,17,0,227,14,0,-1,-3,0,226,0,0,0,637,0,226,-16,0,96,0,0,130,0,0,0,0,0,0,0,0,126,0,0,0,-193,0,0,0,0,126,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41205,40178,308,0,0,308,-423,0,25,(Invalid Formula Name),227,0,383,0,75,0,0,137.25,0,0,0,0,0,42.4778,0,0,0,0,0,0,0,0,130,292,0,-34
Realty Income Corporation,NYSE, O,2009,fy2009,1,GV_030822,Pershing Square,Realty Income Corporation,IQ339305,Retail REITs,NYSE:O,10.026,322.499,131.127,0,6.443,89.902,10.026,6.443,0.199,10.396,316.056,4.726,32.61,20.884,-3.71,0,0,3.607,54.853,89.902,0,3440.514,0,0.856,2809.674,205.27,0,0,-85.477,0,28.134,119.793,0,2914.787,-0.261,226.707,12.473,119.532,0,4.6,0.677,0,0,118.855,0,0,12.272,0,57.95,0,0,1350,131.127,0,0,24.253,-45.724,0,-0.062,0,1424.757,106.874,4.6,339.811,94.602,4.6,1629.237,1.03183,0,0,0.91335,-20,0,103.57751,-20,1150.219,1.02848,0,1490.03,0.91,0,2914.787,103.58105,0,0.72285,0,0.72282,40952,40178,295.172,-202.261,104.28671,295.172,-217.772,104.40076,-36.789,(Invalid Formula Name),205.27,11.02939,0,1122.085,0,83.2,10.75962,74.87063,1.2,1354.6,0,-15.4,4.6,0.5663,163.55575,1350,154.2481,217.01075,1344.574,85.533,5.911,2844.63,0,295.172,72,0
Origin Agritech Limited,Nasdaq, SEED,2009,fy2009,1,GV_165510,Citron Research,Origin Agritech Limited,IQ13388814,Agricultural Products,NasdaqGS:SEED,121.255,592.492,-40.817,0,392.842,21.266,121.255,392.842,0,5.692,199.65,2.76,14.421,120.481,0,341.77,33.473,-1.006,513.289,0,38.569,200.035,0,1.6,152.962,47.687,64.591,65.453,-14.748,0.574,73.809,40.908,0,824.544,-51.101,208.883,23.557,-10.193,-19.136,84.2,11.732,1.395,117.896,-21.925,0,0,0,0,546.822,0,-2.75,0,-40.817,0,0,0,-15.891,51.389,0,134.85,546.822,-40.817,0,0,-40.817,134.85,0,-17.73596,-219.44,-125.507,-17.73596,-72.85,-29.377,2.30137,-292.29,226.333,-17.73596,0,277.722,-17.73596,0,824.544,2.30137,0,2.90066,0,2.90066,40928,40086,68.953,0,2.30137,73.622,-175.933,2.30137,18.992,(Invalid Formula Name),47.687,98.34711,75.481,152.524,6.528,11.574,66.27533,6.6755,0.006,202.096,0,-157.44,202.096,NM,156.76438,0,0,163.90438,80.841,3.799,-131.96,479.818,0.58,49.817,874,11.152
VistaPrint Limited,Nasdaq, VPRT,2009,fy2009,1,GV_164086,Citron Research,Cimpress N.V.,IQ21009761,Commercial Printing,NasdaqGS:CMPR,133.988,515.826,55.686,0,191.355,29.951,133.988,191.355,0,5.672,324.471,19.473,5.672,201.379,0,4.384,60.179,0.276,156.863,0,-1.921,259.971,0,3.148,193.622,62.913,0,0.76,0.324,0,6.754,62.434,0,369.549,-1.331,120.051,11.347,61.103,-76.286,0,5.417,0,8.349,55.686,0,0,0,0,66.813,0,-7.168,10.465,55.686,25.859,0,0,-57.595,0,0,0,84.015,55.686,0,0,55.686,0,0.688,1.28516,0,98.784,1.28516,-3.219,-29.881,43.33017,-3.219,285.534,1.25,12.067,285.534,1.25,-49.694,369.549,44.63419,0,0.90056,0,0.87425,40772,39994,92.864,0,42.80581,92.864,-31.243,42.99593,30.843,(Invalid Formula Name),62.913,6.67045,99.195,278.78,6.331,1.391,6.51267,39.02125,3.021,18.814,0,-3.219,8.349,8.8653,14.063,10.465,0,14.93863,-115.174,1.401,-3.886,304.348,10.062,16.578,1735,-4.645
American Superconductor Corporation,Nasdaq, AMSC,2010,fy2010,1,GV_024795,Citron Research,American Superconductor Corporation,IQ34933,Electrical Components and Equipment,NasdaqGS:AMSC,87.594,315.955,16.248,54.469,200.977,9.789,142.063,200.977,0,57.29,114.978,13.632,57.29,50.446,0,35.858,23.593,-16.993,262.994,0,-0.656,93.591,1.827,23.775,64.315,39.112,7.021,9.092,0.788,0,44.466,37.207,0,400.184,-0.451,40.68,33.762,36.756,-16.541,0,20.508,0,0,16.248,0,0,0,0,104.76,0,-1.516,0,16.248,-23.441,0,0,-39.996,0,-0.451,0,119.219,16.248,0,0,16.248,0,0.448,3.65575,0,-410.889,3.65575,0,0,4.4445,0,280.965,3.6,19.003,280.965,3.6,0,400.184,4.529,0,5.23217,0,5.13455,41086,40268,48.901,0,4.48455,48.901,19.003,4.48518,16.92,(Invalid Formula Name),39.112,62.65172,51.054,236.499,2.153,0,52.73635,23.25438,12.387,0,0,0,0,55.7949,35.596,0,0,35.596,-142.063,0,-5.087,280.965,23.215,32.36,714,-2.707
"Barnes & Noble, Inc.",NYSE, BKS,2010,fy2010,1,GV_028924,Whitney Tilson,"Barnes & Noble, Inc.",IQ526921,Specialty Stores,NYSE:BKS,60.965,5807.754,36.676,0,4131.009,208.539,60.965,4131.009,12.102,86.802,1676.745,15.723,106.576,1373.223,0,1370.111,0,119.358,1719.477,207.774,228.822,2815.233,0,-349.596,812.034,95.748,0,0,-28.237,0,1109.503,67.511,0,3705.686,-22.502,130.838,868.976,45.009,-127.779,100,8.365,0,0,36.644,-188.189,0,0,0,1724.408,0,0,410.4,36.676,0,0,1.279,-319.536,1.55,-10.4,0,2802.318,35.397,260.4,0,35.397,260.4,0.089,0.63958,0,681.082,0.63958,0,-1052.356,55.344,0,901.818,0.63,4.363,903.368,0.63,-3.028,3705.686,56.153,0,0.76298,0,0.75199,41087,40299,304.287,-57.403,55.708,304.287,163.069,56.46617,-25.629,(Invalid Formula Name),95.748,16.1883,707.984,-207.685,403.697,12.305,-3.7281,42.22638,31.461,510.4,-4.8,260.4,100,18.5851,250.48688,410.4,156.5137,262.4925,449.435,28.689,-106.167,1413.768,65.535,176.508,40000,-57.17
China New Borun Corporation,NYSE, BORN (ADR),2010,fy2010,0,GV_184767,Alfred Little,China New Borun Corporation,IQ104546868,Distillers and Vintners,NYSE:BORN,340.98461,1713.92488,259.42433,0,1308.30317,50.70713,340.98461,1308.30317,0,128.4805,405.62171,0,162.38499,45.71604,0,96.94279,0,-57.08289,647.73951,0,-47.85773,1131.81849,0,-12.52826,1035.30424,359.90567,0,0,-11.96223,-10.30893,79.86147,347.68907,0,1762.90521,0,194.33464,29.22263,347.68907,-537.56835,498,88.26474,0,0,259.42433,0,0,0,0,746.37729,0,-32.386,0,259.42433,0,0,27.74462,-569.95435,0,0,498,746.37729,231.67971,0,0,231.67971,498,0.1756,11.07079,-143.2,548.60313,11.07079,0,0,20.92712,-143.2,1016.52793,11.07079,256.10077,1016.52793,11.07079,0,1762.90521,20.92712,0,10.38393,0,10.38393,41388,40543,410.6128,0,25.725,410.6128,610.90077,25.725,235.19955,(Invalid Formula Name),359.90567,39.51518,411.38557,936.66646,0.77277,12.60847,36.41075,217.30567,98.57367,498,0,354.8,498,25.3861,-320.99287,0,0,-313.11258,157.01539,0,18.8064,1514.52793,88.26474,-126.95555,1044,0
"China Integrated Energy, Inc.",Nasdaq, CBEH,2010,fy2010,1,GV_164407,Spruce Point Capital,"China Integrated Energy, Inc.",IQ38575044,Oil and Gas Refining and Marketing,-,90.25722,438.68265,53.819,0,375.49893,1.63807,90.25722,375.49893,0,6.32945,63.18372,4.28807,6.32945,8.93886,0,23.26684,0,-2.76047,166.56983,0,-3.90998,40.16795,0,0,35.25244,54.24486,13.89271,0,-0.20081,0,36.17904,54.0458,0,267.35917,0,47.84172,1.18857,54.0458,-10.71862,6.51515,0.2268,0,0,53.819,-27.6529,0,0,0,29.61117,0,-4.89919,0,53.819,0,0,0,-43.27071,0,0,6.45898,34.76986,53.819,0,0.00259,53.819,6.45898,0.00361,1.59687,-4.33885,125.81174,1.59687,0,0,33.70279,-4.33885,232.58671,1.28,13.02829,232.58931,1.28,0,267.35917,42.19979,0,1.00225,0,0.80045,41885,40543,55.88293,0,36.04981,55.88293,16.63085,44.50338,27.84178,(Invalid Formula Name),54.24486,6.45182,59.67052,196.40767,3.78759,0.27026,5.44823,33.77863,0,6.51515,0,2.12013,6.51515,0.4196,33.99784,0,0,34.12335,-83.74207,0,-9.91199,239.10446,0.23286,45.16431,402,-0.00606
"China MediaExpress Holdings, Inc.",Nasdaq, CCME,2010,fy2010,1,GV_183714,Bronte Capital,"China MediaExpress Holdings, Inc.",IQ58781454,Advertising,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,(Invalid Formula Name),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China Education Alliance, Inc.",NYSE, CEU,2010,fy2010,1,GV_160471,Kerrisdale Capital,"China Education Alliance, Inc.",IQ3661552,Education Services,-,71.10542,46.26699,15.26241,0,8.17798,1.69215,71.10542,8.17798,0,0,38.08901,0.18091,0.43203,20.5999,0,0,0,1.27473,74.37242,0.91397,0,14.48884,0,-0.56989,9.94673,16.57514,0.06349,0.55927,0.2238,0,1.51538,16.79888,0,93.5661,0,16.99982,0.6861,16.79888,-5.04889,0,1.64816,0,0,15.15072,0,0,0,0,1.75847,0,-0.77762,0,15.26241,-0.21758,0,0,-6.0441,-0.84899,0,0,1.75847,15.26241,0,0,15.26241,0,0.03126,1.43403,0,48.32324,1.43403,0,-0.97707,10.643,0,92.65662,1.43403,0.35837,91.80763,1.43403,-0.97707,93.5661,10.67778,0,0.99699,0,0.99375,41729,40543,18.26729,0,10.28313,18.26729,-7.791,10.28313,6.07008,(Invalid Formula Name),16.57514,9.01055,18.51821,91.14124,0.25092,0,8.86318,10.61099,1.86315,0,0,0,0,9.8111,6.59964,0,0,6.59964,-71.10542,0,-0.19363,91.80763,1.64816,13.2184,409,0
"China Green Agriculture, Inc.",NYSE, CGA,2010,fy2010,1,GV_021241,Alfred Little,"China Green Agriculture, Inc.",IQ39695597,Fertilizers and Agricultural Chemicals,NYSE:CGA,62.33544,52.09075,21.28976,0,21.13855,2.59812,62.33544,21.13855,0,15.57189,30.9522,1.69545,15.57189,6.02558,0,11.26265,0,-7.27891,89.47808,0,-4.13086,35.25116,0,-0.60275,29.62559,24.92662,0.0173,0,0.16297,-0.60632,11.58557,25.08427,0,131.78794,0,12.23204,0.32812,25.08427,-14.09279,0.06816,3.79452,0,0,21.28976,0,0,0,0,3.25002,0,-10.71965,0,21.28976,0,0,0,-16.52469,0,0,0,3.25002,21.28976,0,0,21.28976,0,0.02457,0.90717,-3.17848,49.40106,0.90717,0,0,23.46825,-3.17848,128.53792,0.90717,53.77875,128.53792,0.90717,0,131.78794,23.46825,0,0.66804,0,0.66804,41292,40359,27.52474,0,24.57233,27.52474,48.45155,26.84826,44.53999,(Invalid Formula Name),24.92662,5.231,27.54523,116.95235,0.02049,0.11248,4.75951,15.67767,3.08189,0.06816,0,-3.17848,0.06816,15.127,-18.42916,0,0,-18.35886,-62.26727,0,13.41912,128.60609,3.79452,13.43195,586,0
"China-Biotics, Inc.",Nasdaq, CHBT,2010,fy2010,1,GV_164342,Citron Research,"China-Biotics, Inc.",IQ26578556,Personal Products,-,155.57937,81.36397,15.64796,0,24.0702,1.94795,155.57937,24.0702,0,21.00866,57.29377,0,21.80057,18.4079,0,1.10071,3.66539,-6.52922,181.95269,0,-0.15555,57.21026,0,2.91587,48.88608,35.28067,0,0,0.29264,3.76725,1.79708,23.43631,0,232.93468,0,29.52562,5.85099,23.43631,-13.77335,0,7.78835,0,22.14691,15.64796,0,0,0,0,76.75575,0,0,0,15.64796,0,0,0,-13.77335,0,0,3.1139,76.75575,15.64796,0,0,15.64796,3.1139,0.00424,0.79814,-7.90895,68.46779,0.79814,0,-0.002,19.60559,-7.90895,156.17893,0.79814,74.90657,156.17893,0.79814,0,232.93468,19.60559,0,0.74712,0,0.74712,41415,40268,37.22862,0,22.37,37.22862,70.11152,22.37,84.75533,(Invalid Formula Name),35.28067,6.98162,41.17235,154.38185,3.94373,1.00589,6.90129,14.64769,5.32921,22.14691,0,-4.79505,22.14691,33.2319,22.67075,0,0,22.67075,-133.43247,0,-12.44573,178.32584,7.7325,23.45526,513,0.05585
"China-Biotics, Inc.",Nasdaq, CHBT,2010,fy2010,1,GV_164342,Kerrisdale Capital,"China-Biotics, Inc.",IQ26578556,Personal Products,-,155.57937,81.36397,15.64796,0,24.0702,1.94795,155.57937,24.0702,0,21.00866,57.29377,0,21.80057,18.4079,0,1.10071,3.66539,-6.52922,181.95269,0,-0.15555,57.21026,0,2.91587,48.88608,35.28067,0,0,0.29264,3.76725,1.79708,23.43631,0,232.93468,0,29.52562,5.85099,23.43631,-13.77335,0,7.78835,0,22.14691,15.64796,0,0,0,0,76.75575,0,0,0,15.64796,0,0,0,-13.77335,0,0,3.1139,76.75575,15.64796,0,0,15.64796,3.1139,0.00424,0.79814,-7.90895,68.46779,0.79814,0,-0.002,19.60559,-7.90895,156.17893,0.79814,74.90657,156.17893,0.79814,0,232.93468,19.60559,0,0.74712,0,0.74712,41415,40268,37.22862,0,22.37,37.22862,70.11152,22.37,84.75533,(Invalid Formula Name),35.28067,6.98162,41.17235,154.38185,3.94373,1.00589,6.90129,14.64769,5.32921,22.14691,0,-4.79505,22.14691,33.2319,22.67075,0,0,22.67075,-133.43247,0,-12.44573,178.32584,7.7325,23.45526,513,0.05585
"China-Biotics, Inc.",Nasdaq, CHBT,2010,fy2010,1,GV_164342,Matt Berry,"China-Biotics, Inc.",IQ26578556,Personal Products,-,155.57937,81.36397,15.64796,0,24.0702,1.94795,155.57937,24.0702,0,21.00866,57.29377,0,21.80057,18.4079,0,1.10071,3.66539,-6.52922,181.95269,0,-0.15555,57.21026,0,2.91587,48.88608,35.28067,0,0,0.29264,3.76725,1.79708,23.43631,0,232.93468,0,29.52562,5.85099,23.43631,-13.77335,0,7.78835,0,22.14691,15.64796,0,0,0,0,76.75575,0,0,0,15.64796,0,0,0,-13.77335,0,0,3.1139,76.75575,15.64796,0,0,15.64796,3.1139,0.00424,0.79814,-7.90895,68.46779,0.79814,0,-0.002,19.60559,-7.90895,156.17893,0.79814,74.90657,156.17893,0.79814,0,232.93468,19.60559,0,0.74712,0,0.74712,41415,40268,37.22862,0,22.37,37.22862,70.11152,22.37,84.75533,(Invalid Formula Name),35.28067,6.98162,41.17235,154.38185,3.94373,1.00589,6.90129,14.64769,5.32921,22.14691,0,-4.79505,22.14691,33.2319,22.67075,0,0,22.67075,-133.43247,0,-12.44573,178.32584,7.7325,23.45526,513,0.05585
City Holding Company,Nasdaq, CHCO,2010,fy2010,1,GV_016781,Shareholder Watchdog,City Holding Company,IQ261215,Regional Banks,NasdaqGS:CHCO,66.379,136.134,38.96,0,0,5.075,68.495,0,0,0,136.134,0.83,0,62.016,0,9.3,0,0.705,85.059,0,0,131.479,0,0,64.53,62.599,0,456.285,0,0,56.573,57.413,0,2637.295,0,68.333,2171.375,57.413,-5.045,114.826,18.453,0,0,38.96,0,0,0,0,2286.201,0,0,16.495,38.96,57.976,0,0.237,-32.143,0,0,0,2322.434,38.723,0,0,38.723,0,46.249,2.484,-6.005,270.905,2.484,-0.078,-102.853,15.589,-6.083,314.861,2.47,0.236,314.861,2.47,-12.902,2637.295,15.651,0,2.30182,0,2.2927,41353,40543,NA,-21.35,15.50478,0,-32.446,15.37445,3.744,(Invalid Formula Name),NA,20.30735,NA,258.288,0,28.5,16.6586,35.88313,15,131.321,0,-6.083,114.826,32.1408,0,16.495,54.7997,0,62.826,0.658,0,0,19.688,0,805,-1.235
