Company,Exchange,Ticker,U.S.-listed,gvkey,Short-seller ,Sample year,URL,Announce date,End date,Allegations,Summary,Companyfate,Oneweekret,CampaignRet,CampaignRetVsSP500,CompanyTactics,Marketcap,Duplicate copy of Shortseller (added just to make reading easy),Main activist document(s) of interest,(Part 2 for Column N),Chinese company,Notes,Synopsis Excerpt,summary from original source,Focus,Keywords Combined TOTAL
500.com Limited,NYSE, WBAI (ADR),0,GV_019042,GeoInvesting,2015,http://www.activistshorts.com/companies/350/campaigns/592,4/1/2015,,Other overvaluation,"GeoInvesting said that a majority of 500.com Limited's internet-based lottery sales ""have been suspended indefinitely"" and management had repeatedly failed to explain to investors its state of operations or the impact of its sale's suspension.",Alive,52.30%,89%,87.40%,CEO resigns or is replaced,380,GeoInvesting,http://www.businessinsider.com/carson-block-mentions-500com-2014-9,,1,,,,,rejected - Chinese company
"AAC Holdings, Inc.",NYSE, AAC,1,GV_178698,Bleecker Street Research,2015,http://www.activistshorts.com/companies/428/campaigns/576,3/3/2015,,Other illegal; Misleading accounting,"Bleecker Street Research said AAC Holdings was conducting ""drug testing fraud,"" performing urine drug tests 6-12x more than necessary for big insurance payments and outsized margins.",Alive,-24.70%,-34%,-33.80%,Private placement; Insider buy; Halt stock; Launch website,722,Bleecker Street Research,http://seekingalpha.com/article/2967976-american-addiction-centers-addicted-to-fraudulent-drug-testing,,0,,"On 3-3-2015, Bleecker Street Research said AAC Holdings, Inc. was conducting ""drug testing fraud,"" performing urine drug tests 6-12x more than necessary for big insurance payments and outsized margins. Bleecker Street said FBI raids cracking down on insurance fraud in Florida, where 51% of the company's beds were located, would put the company's revenues at risk. Bleecker Street also said that the company had manipulated its earnings ahead of its IPO to boost its valuation, that it had a ""checkered past"" and that it would have a lockup expiration in a few weeks. On 8-4-2015, Bleecker Street said in a follow-up report that AAC's ability to raise money to fund acquisitions had been badly compromised by the recent murder indictment of its former president (and 25% shareholder) and its Forterus unit, which made up 20% of the company's revenue. Bleecker Street also noted that there was evidence of other undisclosed patient deaths, and it said that AAC had not disclosed that the indictment was for murder even though the company had ample time to review the indictment beforehand. ","AAC Holdings, also known as American Addiction Centers, is likely to fall by at least 50%, as its inappropriate insurance billing scheme comes unraveled. Moreover, this contributes to outsized net margins. In fact, it is so profitable that the company will not reveal the margins, and it doesn't really even want to talk about it. The company is already the subject of one lawsuit (in New Jersey) alleging fraudulent billing with respect to excessive urine testing. I believe that the majority of this growth has to do with excessive and/or fraudulent drug testing. In April 2014 AAC acquired Clinical Revenue Management Services, LLC ""CRMS"" as part of its reorganization transactions. This was an interesting move and served to help inflate AAC's revenue and earnings just ahead of the IPO. You can see how drastic this change was by looking at AAC's ratio of Allowance for Doubtful Accounts to Revenue. It is not hard to see when it started falling, right after the CRMS acquisition and when management changed the allowance for doubtful accounts helping boost earnings before the IPO.",Legal,Major business fraud;Accounting fraud;Product not as valuable as perceived;unsavory management
"AAC Holdings, Inc.",NYSE, AAC,1,GV_178698,Quintessential Capital Management,2015,http://www.activistshorts.com/companies/428/campaigns/763,7/21/2015,,Other illegal,"Quintessential Capital Management said that urine drug testing accounted for a third of AAC Holdings, Inc.'s revenue, which Quintessential Capital said was in jeopardy due to expected insurance company policy change.",Alive,-3.40%,-45%,-41.40%,Private placement; Insider buy; Halt stock,894,Quintessential Capital Management,https://seekingalpha.com/pro/checkout/3342015?notice=pro,,0,,"On 7-21-2015, Quintessential Capital Management said that urine drug testing accounted for a third of AAC's revenue, which Quintessential Capital said was in jeopardy. Quintessential Capital noted that AAC's urine drug testing practices were not condoned by industry standards, and Quintessential Capital said that expected insurance company policy change would have a material effect on AAC's bottom line. Quintessential Capital also questioned the company's reliance on predatory marketing, ineffective therapies and exploitative treatment of patients, and Quintessential Capital said that it was skeptical of AAC's rationale for nationwide growth. (The report was released first to Seeking Alpha Pro subscribers before it was released to the public a day later.)",Article not accessible,Legal,Product ineffective;Deceptive Marketing;business model pressure;customer retention issues;legal headwinds
Abeona Therapeutics Inc. ,Nasdaq,ABEO,0,,Mako Research,2016,https://www.activistshorts.com/companies/772/campaigns/1068,12/11/2016,,Medical effectiveness; Bubble; Stock promotion; ,Mako Research said that Abeona Therapeutics Inc.'s science regarding its ABO-101 and ABO-102 treatments was flawed and criticized the company's trial design.,Alive,-12.60%,-12.60%,-12.70%,n/a,205,,http://seekingalpha.com/article/4029813-abeona-stock-promotions-fraud-convictions-demonstrably-unviable-science-sell-92-percent,,0,,,"ABEO science is demonstrably unviable with numerous irrefutable flaws that will lead to failure, with yet another single location NCH “trial” design.

Former ABEO insider and largest shareholder David Blech convicted of securities fraud. Since then, this “company” has seen more asset shuffling than a card table in Vegas.

Stock promoters responsible for numerous biotech wipeouts run this “company,” while ABEO temporarily trades near the highest market capitalization in its 20-year history, while going concern questions abound.

ABEO’s auditor Whitley Penn cited by PCAOB repeatedly for “audit deficiencies”. This is the same tiny auditor who oversaw the alleged UDF “Ponzi scheme” exposed by Kyle Bass.

Insiders have collected a shocking ~$35m in compensation, which exceeds 50% of ABEO’s R&D spending since 1996, while losing over $325m of shareholder cash, and yet accomplishing apparently nothing.",Management,accounting misrepresentation;technology not as valuable as perceived;unsavory management;stock promotion;managerial plunder
"Acacia Communications, Inc. ",Nasdaq,ACIA,1,,Long-Short Value,2016,https://www.activistshorts.com/companies/733/campaigns/1008,9/23/2016,,,"Long-Short Value said that Acacia was a low float, high hype IPO, which it said was destined to crash.",Alive,-11.50%,-37.50%,-39.60%,Public equity offering,4070,,http://seekingalpha.com/article/4008055-low-float-high-hype-manipulated-ipos-short-twilio-acacia-communications,,0,,"On 9-23-2016, Long-Short Value said that Acacia Communications, Inc. was a low float, high hype IPO, which it said was destined to crash.

On 10-4-2016, Acacia announced that it had commenced a follow-on public offering of 4.5 million shares of its common stock.","The IPO market is more about controlling float these days then anything else.

Shack Shake and GoPro are great examples of what happens to hyped up IPOs with low floats that got manipulated to outrageous prices. In the end they crash.

Twilio and Acacia Communications are just the next in the line of these low-float IPOs destined to crash.",Financial modeling,low-float IPO
"Accelerate Diagnostics, Inc.",Nasdaq, AXDX,1,GV_021118,Street Sweeper,2014,http://www.activistshorts.com/companies/370/campaigns/498,10/14/2014,10/14/2015,Other overvaluation,"The Street Sweeper said Accelerate Diagnostics, Inc. was mistakenly benefiting from recent Ebola headlines and had been overvalued even before its recent spike.",Alive,-11.00%,-42%,-50.90%,n/a,"1,221",Street Sweeper,http://www.thestreetsweeper.org/undersurveillance/Accelerate_Diagnostics__Mistakenly_Rewarded_and_Now_Destined_to_Collapse_,,0,,"On 10-14-2014, The Street Sweeper said Accelerate Diagnostics, Inc. was mistakenly benefiting from recent Ebola headlines. The Street Sweeper said the company was ""wildly expensive"" even before its recent spike, had soared thanks to ""misconceptions about its true capabilities"" and had not even done the studies required to get regulatory approval for its ""long-awaited device."" The Street Sweeper also noted a history of management problems and a fading appetite among investors for more capital raises.","With no major developments on the horizon, AXDX actually spent most of September drifting steadily lower until Ebola began to dominate the national headlines and sent traders on a breathless chase for related investment opportunities. AXDX has yet to even seek – let alone secure – government approval for the “BACcel” diagnostic testing system that became its primary focus at least a full decade ago. With little revenue and no expectations of actual profits anytime soon, AXDX has nevertheless managed to achieve a market capitalization so generous that it literally exceeds the estimated value that the firm once assigned to the entire market that it has long aimed to serve. Now, let’s move on to the insider buying that helped inspire so much confidence in AXDX ahead of that remarkable surge. But first, go back and look at the prices that those AXDX insiders actually paid for most of their stock in the company. As you will discover, they spent less than $25 million to gain a controlling interest in the company – an investment that’s suddenly worth around $750 million just a couple of years later – by paying a measly $1.03 a share for two-thirds of that stock and a “whopping” $2 a share for the rest.",Product,Stock promotion;strategy issues;Product ineffective;Growth overstated;Managerial self-dealing;unsavory management
"Accelerate Diagnostics, Inc.",Nasdaq, AXDX,1,GV_021118,Shareholder Watchdog,2015,http://www.activistshorts.com/companies/370/campaigns/571,2/18/2015,,Medical effectiveness; Stock promotion,"Shareholder Watchdog said Accelerate Diagnostics, Inc. had a ""litany of red flags,"" including a management team with a checkered past, numerous partnerships resulting in nothing, empty promises from management, and a long shot product that remained unproven.",Alive,-17.10%,1%,0.80%,Public equity offering,"1,024",Shareholder Watchdog,http://seekingalpha.com/article/2926786-accelerate-diagnostics-a-misleading-story-ripe-for-decline,,0,,"On 2-18-2015, Shareholder Watchdog said Accelerate Diagnostics had a ""litany of red flags,"" including a management team with a checkered past, numerous partnerships resulting in nothing, empty promises from management and a long shot product that remained unproven. Shareholder Watchdog said the company could have violated securities laws due to millions of shares that ""appear unaccounted for,"" and it concluded that its findings could suggest that Accelerate Diagnostics was ""indeed an orchestrated promote.""","As we discuss in detail below, respected hospitals and medical device / pharma companies have conducted extensive trials on AXDX's core product, BACcel, and without exception passed on the ""opportunity"" to license or manufacture the product. Acquirers had the chance to purchase AXDX and its technology for next to nothing - and they all passed. In 2012, the prior management team stepped aside from this ""too good to be true"" technology following an equity recapitalization of the company at $1.03 per share by two seemingly highly respected health care executives, Jack Schuler and John Patience. As we understand it, the marriage was brokered by current AXDX CEO Larry Mehren.a sordid history of legacy management and the IP, numerous pilot studies and partnerships that resulted in nothing, empty promises regarding the technology with no data support, empty promises on FDA approval, no independent clinical studies, and a new management team that appears to have misled investors into thinking it had discovered the ""holy grail"" which we believe has been highly misrepresented with carefully chosen words and misleading PowerPoints.",Management,Unsavory management;stock promotion;product ineffective;stock promotion;Managerial self-dealing;Intellectual Property ineffective;lackluster product and sales
"Accelerate Diagnostics, Inc.",Nasdaq, AXDX,1,GV_021118,Citron Research,2015,http://www.activistshorts.com/companies/370/campaigns/582,3/9/2015,,Medical effectiveness,"Citron Research said Accelerate Diagnostics, Inc. had, after questions from the SEC, been forced to stop stating in its filings that it had a ""culture-free process,"" making its technology ""worthless in the 2015 diagnostic landscape.""",Alive,14.70%,28%,26.30%,Public equity offering,810,Citron Research,http://www.citronresearch.com/wp-content/uploads/2015/03/AXDX-Part-I-Final.pdf,,0,,"On 3-9-2015, Citron Research said Accelerate Diagnostics had misled investors, as it said that the company ""had no 'accelerated' diagnostics."" Citron said that after questions from the SEC, the company had been forced to stop stating in its filings that it had a ""culture-free process,"" which the company had claimed since 2004. Citron argued that if the company did require a positive blood culture to work, its technology was ""worthless in the 2015 diagnostic landscape."" Citron also endorsed a report released by Shareholder Watchdog on 2-18-2015 and stressed that the company had made ""11 years of unfulfilled promises"" and had ""no viable commercial product on the immediate horizon.""","11 years of unfulfilled promises about the same product ? No viable commercial product on the immediate horizon ? Scant R&D ? Rejected by two major pharma companies who each had exclusive rights to AXDX's platform and core technology for months -- and then walked away ? Not a single independent scientific publication on its technology -- despite over 30 papers authored by employees, and individuals compensated by the company ? A competitive landscape increasingly crowded with high-credibility and well funded competitors, each aggressively bringing new technologies to market -- many already FDA approved and/or Europe CE approval",Product,lackluster product and sales;Regulatory headwinds
"Acorda Therapeutics, Inc.",Nasdaq, ACOR,1,GV_156617,Hayman Capital Management,2015,http://www.activistshorts.com/companies/420/campaigns/565,2/10/2015,,Patent invalid,"Hayman Capital Management filed a petition for Inter Partes Review against an Acorda Therapeutics, Inc. patent related to multiple sclerosis, attempting to challenge the continuation of that patent.",Alive,-6.20%,-1%,-3.70%,n/a,"1,674",Hayman Capital Management,http://www.businessinsider.com/kyle-bass-going-after-us-pharma-2015-1,http://video.cnbc.com/gallery/?video=3000446861&play=1,0,,"On 2-10-2015, Kyle Bass of Hayman Capital Management filed a petition for Inter Partes Review (IPR) against an Acorda Therapeutics, Inc. patent on AMPYRA related to multiple sclerosis. The IPR process allows fast-tracked challenges against patents. Previously, on 1-7-2015, several media outlets reported that Bass previewed plans at a conference to file IPR petitions against roughly 15 companies to challenge their patents and ultimately lower drug prices. Bass described the move as a ""short activist strategy"" and implied his fund would take a short position against the companies as part of filing the petitions. No specific position in Acorda was publicly disclosed with the filing of the IPR. On 11-6-2015, in an interview with CNBC, Kyle Bass said that Acorda had 95% of its revenue in AMPYRA. Bass added that Hayman had challenged four of its five patents and that Hayman would hear within six months whether the challenges would be heard.",,Product,Intellectual Property ineffective
"Active Network, Inc.",NYSE, ACTV,1,GV_160281,Prescience Point,2012,http://www.activistshorts.com/companies/151/campaigns/208,10/31/2012,11/15/2013,Over-levered; Misleading accounting ,Prescience Point said Active Network was nearly insolvent and was using misleading accounting practices to disguise its financial troubles. The company did not respond and was acquired by Vista Partners Equity a year later.,Acquired,-35.90%,62%,31.20%,Sell to third party; Strategic review ; CEO resigns or is replaced,535,Prescience Point,http://seekingalpha.com/article/965321-the-active-network-accounting-problems-masking-functional-insolvency,,0,,"On 10-31-2012, Prescience Point said Active Network, Inc. was nearly insolvent and was misleading investors with its accounting practices. Prescience said the company had no excess cash, due in part to 40+ acquisitions, and Prescience noted deferred cash bonuses to management and ""dramatic increases"" in stock-based employee compensation packages. Prescience additionally said that the company was making a concerted effort to mask waning organic growth. It said the company was doing so to mislead investors and that a restatement of the company's financial results would be needed in the future. Prescience said the decrease in management ownership in the company to 2.3% reflected the company's precarious circumstances. On 2-12-2013, Prescience released a follow-up report and stated that the company's revenue problems were ""worse than initially suspected."" Prescience said the company was covering up significant intra-period borrowing, that it continued to have significant problems integrating its many acquired businesses and products and that insider selling and departures in management indicated the company's continued decline.
","Trading with a $600 million fully diluted market valuation (16.5x LTM EBITDA), we believe shares of The Active Network, Inc. ( ""the company,"" ""Active,"" or ""ACTV"" ) are grossly overvalued, reflecting few, if any, of the serious risks that could threaten its existence. We believe that management has resorted to masking the company's weakening financial condition by gaming the accounting, and reducing investor disclosures. As a result of our serious concerns about the integrity of its financial reporting, we believe Active is at high risk of being forced to restate historical financial results. We believe investors and sell-side analysts have been sold a bill of goods that Active is a high growth SaaS/Cloud leader. Our analysis paints a starkly different picture, and it appears management and insiders agree by price-indiscriminate share liquidations. It rapidly burned through its strong, post-IPO excess cash position. We believe it now has no excess cash.
It recently doubled its line of credit in July 2012 with no explanation.
It deferred management cash bonuses that were to be paid earlier in the year into Restricted Stock Units (RSUs) in August.
It undertook sudden managerial changes, effectively removing the company's long-tenured CEO, thereby cutting his salary.
It is the subject of increasingly frequent customers complaints claiming that Active is engaged in fraudulent billing practices.
It may be having trouble retaining employees, evidenced by dramatic increases in stock-based compensation expenses. Initially expected to be $3.5m for 2012, analysts are now expecting an expense of $15m.
It has made no cash or equity-based acquisitions YTD, which is at odds with management's prior guidance for acquisitions in 2012 and with the company's historical pattern.
It has stretched to the maximum the number of days to pay money owed to event organizers, a measure we refer to as Days Due to Customers Outstanding.",Accounting,business model pressure;accounting misrepresentation;Cash shortage;Too many acquisitions;Managerial self-dealing;Growth overstated;Insider selling;Management turnover;organic growth overstated
Adamis Pharmaceuticals Corporation,Nasdaq,ADMP,1,,Street Sweeper,2016,https://www.activistshorts.com/companies/653/campaigns/887,5/4/2016,,Ineffective roll-up; Stock promotion;,"The Street Sweeper said that Adamis' hyped acquisition of US Compounding was a dangerous liability, and it said that the company was the subject of a stock promotion campaign.",Alive,-4.70%,-69.20%,-76.70%,Private placement,134,,http://www.thestreetsweeper.org/undersurveillance/Adamis_Pharmaceuticals__ADMP___Compounding_Risk,,0,,"On 5-4-2016, The Street Sweeper said that Adamis Pharmaceuticals Corporation's hyped acquisition of US Compounding was a dangerous liability, and it said that US Compounding was deficient in its practices and had recently recalled all of its sterile products nationwide. The Street Sweeper added that the compounding industry faced significant liability risk related to sterility issues, and it said that Adamis had generated zero revenue and had unsuccessfully targeted FDA approval for several products. It additionally noted that professional stock promoters had hyped the company's stock.

On 6-6-2016, Adamis announced that the FDA wouldn't consider for review Adamis' epinephrine shot, and the stock fell more than 50%.

On 7-12-2016, the company announced that it had completed a private placement of 1,724,137 units, with each unit consisting of one share of its series A-2 convertible preferred stock and one warrant to purchase a number of shares of its common stock or series A-2 preferred, with ""a small number of institutional investors"" for gross cash proceeds of approximately $5 million.

On 7-29-2016, the company announced that it had entered into definitive subscription agreements with investors pursuant to a registered direct offering for gross proceeds of approximately $11.1 million.","Shares blew up on news that Adamis would be acquiring US Compounding in a stock deal worth nearly $10 million.

What investors didn't understand was what Adamis got for its investment.

Adamis has acquired a company that recently recalled ALL of its sterile products nationwide, at the request of the Food and Drug Administration. In fact, the recall is ongoing (here) for more than 70 veterinary products.Click here to see the recall list affecting patients, clinics, providers and hospitals nationwide.

All US Compounding sterile products were recalled because the FDA is concerned about sterility.

The recalled human and veterinary products were distributed from March 14, 2015 to September 9, 2015. Before the recall, customers had filed 108 formal complaints with the FDA about US Compounding products.

When the FDA walked in one day last August to inspect the little drug store, agents uncovered their own long list of issues. The problems they discovered spanned 11 pages, here.",Other information,FDA approval unlikely;clinical trials mismanaged;product dangerous
Adeptus Health Inc. ,NYSE,ADPT,1,,Lakewood Capital,2016,https://www.activistshorts.com/companies/614/campaigns/839,2/8/2016,,Competitive pressures,"Lakewood said that Adeptus Health faced limited growth opportunities and pressures to its existing facilities, which Lakewood said included volume declines, growing customer dissatisfaction and deteriorating unit economics.",Alive,-12%,-78.50%,-97.30%,Private placement; public equity offering; CEO resigns or is replaced; CFO resigns or is replaced,645,,http://www.valuewalk.com/2016/02/lakewood-capital-adeptus-dean-foods-dycom/?all=1,,0,,"On 2-8-2016, ValueWalk reported that in a letter to investors, Lakewood Capital said that Adeptus Health Inc.'s shares were significantly overvalued given the company's limited growth opportunities and pressures facing its existing facilities. Lakewood said that Adeptus Health's existing markets were effectively saturated and that its facilities had registered same-store volume declines in every single quarter, with declines exceeding 10% in each of the first three quarters of 2015. It added that the volume pressure was largely a function of cannibalization, but Lakewood said that customer dissatisfaction was also a growing contributor due to higher out-of-pocket costs that had also lead to increasing bad debt. Lakewood said that the Adeptus Health's unit economics would continue to deteriorate.

On 5-31-2016, Adeptus Health announced the offering of 2,750,000 shares of its Class A common stock, of which 1,843,162 shares were to be sold by the company.

On 7-28-2016, the company announced that its CFO was resigning and that it had appointed a new CFO.

On 9-7-2016, the company announced that its CEO would retire and that it had established a search committee to identify a successor.

On 9-19-2016, Deerfield Management Company LP filed a 13D and reported a 9.79% stake. Deerfield said that it had determined to communicate with Adeptus Health regarding various matters relating to the company's board composition, business, operations, management and strategic plans. Deerfield also said that it had communicated with Adeptus board member Gregory Scott regarding the company's ongoing CEO search and Deerfield's interest in board representation.

On 11-1-2016, Adeptus Health reported Q3 2016 earnings. Shares closed down 68% the next day.

On 11-8-2016, the company announced the appointment of Gregory W. Scott as interim CEO.

On the same day, the company announced that it had entered into a purchase agreement with funds affiliated with Sterling Partners, co-founders Rick Covert, the vice chairman of the Company’s board of directors, and Dr. Jack Novak, and Thomas S. Hall, the Company’s former chief executive officer worth $27.5 million of the company's class A shares.",n/a,Industry,Industry saturation;strategy issues
